"","f","fmin","fmax","f.maxF","f.maxX"
"A01",23713.8311921058,0,21345.3271921096,21345.3271921023,21345.3271921096
"A02",1287.3901620681,0,1238.16759285273,7.08961778173034e-11,0
"A03",1144.89322259277,0,1030.40390033349,1030.40390033315,1030.40390033349
"B",9853.06035641223,0,8868.24027356851,6504.93085775008,6504.9308577542
"C10-C12",94671.0082078746,0,85212.776295819,33420.6529709849,33420.6529710398
"C13-C15",67536.1961507616,0,60791.3899269817,26034.5080795396,26034.5080795401
"C16",6037.64216151671,0,5437.23211870162,-1.71861813669238e-09,0
"C17",11063.7708288162,0,9957.78516931178,-3.172715423716e-09,0
"C18",1647.49399051998,0,1482.84812379894,1482.84812380372,1482.84812379894
"C19",32106.2384241215,0,28895.9848951085,28895.9848951188,28895.9848951085
"C20",36242.2225496592,0,32622.3420051303,32622.3420051087,32622.3420051303
"C21",28262.0285475161,0,25499.4407504903,25499.4407504894,25499.4407504903
"C22",22530.4429615509,0,20278.6092696058,12342.6546758196,12342.6546758216
"C23",16559.9915168509,0,14906.0349401123,3563.50565014934,3563.50565014585
"C24",32076.7714263352,0,28870.123652622,3243.58945125496,3243.58945125701
"C25",38153.4091228897,0,34342.4980335262,4673.96676756358,4673.96676756199
"C26",20597.8361535611,0,18541.5184797582,12742.0303614687,12742.030361469
"C27",31672.1873683403,0,28509.427364919,15243.1291741735,15243.1291741842
"C28",109354.080995476,0,98424.7892331821,58098.305608975,58098.305608994
"C29",50202.1189924005,0,45184.7684692164,12171.3677713039,12171.3677712929
"C30",23446.7298594294,0,21106.756042473,8634.81463089474,8634.81463089812
"C31_C32",32205.5429107871,0,28987.6907858614,11058.7457487463,11058.7457487354
"C33",13930.040469876,0,12537.7581176291,10003.603104508,10003.6031045136
"D35",25552.3589360706,0,25233.8017267342,25233.8017267665,25233.8017267342
"E36",6581.77507083286,0,6541.93938938175,6541.93938937792,6541.93938938175
"E37-E39",14281.3246603891,0,14035.2043311955,14035.2043311863,14035.2043311955
"F",175933.658832398,0,158553.622592852,83700.5835924549,83700.5835924686
"G45",32323.1094130887,0,29094.2473136309,29094.2473136299,29094.247313631
"G46",108450.181462982,0,97764.1482595123,82799.2905289086,82799.2905288865
"G47",133555.110880999,0,120515.421115927,104505.422656133,104505.422656039
"H49",41502.8044982515,0,18575.330805645,18575.3308056447,18575.330805645
"H50",11320.4467124059,0,5969.91198419386,5969.91198419555,5969.91198419386
"H51",8261.88589780931,0,4355.76395215568,4355.76395215347,4355.76395215568
"H52",25157.7594912551,0,16737.1038532868,16737.1038532576,16737.1038532868
"H53",1455.96269555621,0,1405.98904863363,1405.98904863718,1405.98904863363
"I",110472.803364046,0,23143.4376485311,23143.4376485128,23143.4376485311
"J58",7295.29331529025,0,7002.87778517612,7002.8777851785,7002.87778517612
"J59_J60",7946.838878527,0,7671.83432483115,7671.83432482764,7671.83432483115
"J61",27648.0224306966,0,26815.6999790398,26815.6999790205,26815.6999790398
"J62_J63",25895.8865660984,0,23698.8797475981,23698.8797475965,23698.8797475981
"K64",22239.1266419242,0,21883.4444565546,21883.4444565719,21883.4444565546
"K65",22825.827671983,0,22572.6736253522,22572.6736253419,22572.6736253522
"K66",3263.29791368065,0,3103.52590802061,3103.52590800222,3103.52590802061
"L68",228554.28552693,0,227300.515707122,101057.832602242,101057.832602197
"M69_M70",10081.6701382791,0,9556.55853068637,9556.55853068277,9556.55853068637
"M71",3683.69866598848,0,3375.77452237069,3375.77452236315,3375.77452237069
"M72",13891.5427020856,0,12530.0334344883,12530.0334344931,12530.0334344883
"M73",1184.40562854887,0,1075.65946078714,771.884034450755,771.884034450147
"M74_M75",6681.24256592103,0,6346.06246923052,6346.06246923591,6346.06246923052
"N",26408.6675143136,0,25101.5258844409,12460.4956595567,12460.495659548
"O84",167219.108392255,0,167172.80168897,167172.801688903,167172.80168897
"P85",91413.48308026,0,91392.8910560565,91392.8910560853,91392.8910560565
"Q",176518.344489494,0,176260.5903702,176260.590370222,176260.5903702
"R_S",75629.0174113218,0,72108.3759793345,35446.2508921813,35446.2508921558
"T",25597.8037,0,25597.803799362,25597.8037,25597.8037
