"","x","xmin","xmax","x.maxF","x.maxX"
"A01",63160.2907294016,0,63160.2907294016,54496.3769330593,54496.3769330812
"A02",6426.52386424256,0,963.98667003045,963.98667003045,963.986670030533
"A03",488.903406355797,0,488.903406355797,424.677097506405,424.677097506414
"B",14620.1425,0,7555.63525997893,7555.63525997893,7555.63525997822
"C10-C12",245855.477238621,0,245855.477238621,211474.443518488,211474.443518587
"C13-C15",29858.6265625067,0,9396.22717926611,9396.2271792661,9396.2271792748
"C16",32019.9458938499,0,8623.41301215563,8623.41301215563,8623.41301215891
"C17",50961.2081839092,0,33496.5931264307,33496.5931264307,33496.5931264246
"C18",27265.0433648948,0,27265.0433648948,20868.7735933611,20868.7735933659
"C19",105296.776173878,0,105296.776173878,87647.5259166568,87647.5259166903
"C20",183574.359056801,0,148727.312758989,148727.312758989,148727.312758968
"C21",60984.3265830134,0,60984.3265830134,55211.3527128729,55211.3527128839
"C22",100454.070047087,0,65041.0973108006,65041.0973108006,65041.0973108292
"C23",59765.8828099686,0,21548.7068261711,21548.7068261711,21548.7068261708
"C24",133828.892996773,0,36621.9112817853,36621.9112817853,36621.9112817826
"C25",167642.733935638,0,56567.3083660858,56567.3083660858,56567.3083660674
"C26",97179.671260102,0,55318.7267831394,55318.7267831394,55318.7267831396
"C27",137343.73855937,0,50729.4002410486,50729.4002410486,50729.400241058
"C28",316097.004682694,0,120637.152458131,120637.152458131,120637.152458184
"C29",445470.878207735,0,135125.389653676,135125.389653676,135125.389653738
"C30",53423.7613970584,0,21528.0145786737,21528.0145786737,21528.0145786644
"C31_C32",66983.3385520729,0,23307.3974169569,23307.3974169569,23307.3974169719
"C33",51736.5814940285,0,20360.9688006603,20360.9688006603,20360.9688006624
"D35",171089.544,0,171089.544,135532.768044627,135532.768044683
"E36",12097.8397290432,0,12097.8397290432,10214.651323348,10214.6513233462
"E37-E39",63910.9592709568,0,63910.9592709568,50784.0260972553,50784.0260972343
"F",366636.773,0,104287.082745056,104287.082745056,104287.082745085
"G45",79187.1971187418,0,64912.9921010842,55843.2365879899,55843.2365879858
"G46",273059.579378244,0,273059.579378244,205422.785089711,205422.7850898
"G47",213587.943503014,0,160918.971652658,160918.971652658,160918.971652765
"H49",129957.907464243,0,129957.907464243,78920.3766608995,78920.3766609256
"H50",34737.1254904112,0,34737.1254904112,30056.5082312969,30056.5082313019
"H51",34282.7272125642,0,34282.7272125642,17956.0110228791,17956.0110228841
"H52",162198.54717815,0,162198.54717815,111220.886539661,111220.886539653
"H53",39298.6891546313,0,39298.6891546313,27968.3438387071,27968.3438387212
"I",111437.237,0,39402.9286193091,32210.064085647,32210.0640856318
"J58",43291.5007267448,0,43291.5007267448,35676.0294258306,35676.0294258255
"J59_J60",42464.8261340004,0,42464.8261340004,37578.5798679584,37578.5798679565
"J61",83785.0259088164,0,83785.0259088164,71278.7302298655,71278.7302299056
"J62_J63",148601.184730438,0,137879.556870146,120166.266422897,120166.266422964
"K64",193742.404277551,0,193742.404277551,152812.817524378,152812.817524309
"K65",99242.1261746898,0,99242.1261746898,88533.2053929186,88533.2053929359
"K66",43876.5720477588,0,43876.5720477588,38120.4299245582,38120.4299245705
"L68",507150.8895,0,247100.294645014,247100.294645014,247100.29464492
"M69_M70",176061.808278025,0,112184.45826394,112184.45826394,112184.458263943
"M71",85069.501269976,0,46008.4381823401,46008.4381823401,46008.4381823331
"M72",41462.411069779,0,24428.0461922374,24428.0461922374,24428.046192233
"M73",31712.9879168391,0,19129.6687321672,19129.6687321672,19129.6687321641
"M74_M75",30694.6809653809,0,24684.3552527416,24448.3812417757,24448.381241785
"N",278417.7305,0,159550.758561424,159550.758561424,159550.758561421
"O84",326446.991,0,326446.991,306201.098419698,306201.09841956
"P85",205736.824,0,205736.824,200894.751179988,200894.751179969
"Q",381918.5085,0,381918.5085,380852.716051886,380852.71605205
"R_S",195188.534,0,75740.8300357441,75740.8300357441,75740.8300357582
"T",9955.779,0,9955.779,9955.77897104771,9955.77897104771
