Name;WIOD code;
Iochpe-Maxion SA;C29;
Autoliv, Inc.;C29;
Burelle SA;C22;
Gentex Corp.;C29;
Aptiv Plc;C29;
Akebono Brake Industry Co., Ltd.;C29;
Faurecia SE;C29;
P.A.M. Transportation Services, Inc.;H49;
STRATTEC Security Corp;C29;niet zeker
Hi-Lex Corp.;C27;
Nemak;C29;niet zeker
Unique Fabricating, Inc.;C22;
Dana Inc.;C29;
American Axle & Manufacturing Holdings, Inc.;C29;
Cooper-Standard Holdings, Inc.;C29;
Aisin Corp.;C29;
TI Fluid Systems Plc;C29;
None;None;
Tofas Turk Otomobil Fabrikasi AS;C29;
Yasunaga Corp.;C29;niet zeker: G46?
F-TECH INC. ;C29;Manufactures suspension and sub-frames for automobiles.
Nippon Seiki Co., Ltd.;C29;
Exco Technologies;C25;
Namsun Aluminum Co., Ltd.;C24;
Superior Industries International, Inc;C24;Niet zeker
Furukawa Battery Co., Ltd.;C27;
None;None;
Universal Logistics Holdings, Inc.;H49;
Ryobi Ltd.;C28;
CIR SpA - Cie Industriali Riunite;C29;Niet duidelijk
None;None;
Wuling Motors Holdings Ltd.;C29;
TAE WON MULSAN Co., Ltd.;C29;
Sogefi SpA;C29;
elenav, Inc. ;J61;
LXP Industrial Trust;L68; So no finance?
PAR Technology Corp;J58;software publishing and consultancy services
NetSTREIT Corp.;L68;So no finance?
ACCO Brands Corp.;C17;
Yunhong CTI Ltd.;C22;
Yankershop Food Co., Ltd. ;C10;
IG Design Group Plc;C17;
The Kraft Heinz Co.;C10;
Cal-Maine Foods, Inc.;C10;
Colgate-Palmolive Co.;C20;
Crown Crafts, Inc.;C13;
Retail Value, Inc.;L68;
None;None;
B&G Foods, Inc.;C10;
JAKKS Pacific, Inc.;C32;
Meisheng Cultural & Creative Corp., Ltd.;C32;niet zeker
Energizer Holdings, Inc.;C27;
Central Garden & Pet Co.;G46;
Digimarc Corp.;J58;software publishing
